x;y;layer1;layer2;voltage1;voltage2;current
584.476;1204.89;P3V3;BOT;4.38225e-05;4.38225e-05;-1.62082e-16
594.418;3760.01;TOP;GP1_GND_;0.000100453;0.000100453;4.32219e-16
594.418;3760.01;GP1_GND_;L3;0.000100453;9.85315e-05;0.00173414
594.418;3760.01;L3;L4;9.85315e-05;9.7879e-05;0.00173414
594.418;3760.01;L4;P3V3;9.7879e-05;9.7879e-05;-3.42513e-16
594.418;3760.01;P3V3;BOT;9.7879e-05;9.7879e-05;-3.60182e-16
665.186;631.074;TOP;GP1_GND_;2.71689e-05;2.71689e-05;9.90501e-17
665.186;631.074;GP1_GND_;L3;2.71689e-05;2.52482e-05;0.00173369
665.186;631.074;L3;L4;2.52482e-05;2.45959e-05;0.00173369
665.186;631.074;L4;P3V3;2.45959e-05;2.45959e-05;6.72793e-17
665.186;631.074;P3V3;BOT;2.45959e-05;2.45959e-05;6.30319e-17
695.698;1264.93;TOP;GP1_GND_;4.23308e-05;4.23308e-05;1.44073e-16
695.698;1264.93;GP1_GND_;L3;4.23308e-05;3.51918e-05;0.00644373
695.698;1264.93;L3;L4;3.51918e-05;3.27672e-05;0.00644373
695.698;1264.93;L4;P3V3;3.27672e-05;3.38751e-05;-0.001
695.698;1264.93;P3V3;BOT;3.38751e-05;3.42514e-05;-0.001
715.58;3071.88;TOP;GP1_GND_;9.66156e-05;9.66156e-05;-1.80091e-16
715.58;3071.88;GP1_GND_;L3;9.66156e-05;9.66156e-05;-3.42513e-16
715.58;3071.88;L3;L4;9.66156e-05;9.66156e-05;-3.60182e-16
715.58;3071.88;L4;P3V3;9.66156e-05;9.66156e-05;-3.42513e-16
715.58;3071.88;P3V3;BOT;9.66156e-05;9.66156e-05;-3.60182e-16
855.523;3072.06;TOP;GP1_GND_;9.87514e-05;9.87514e-05;-1.08055e-16
855.523;3072.06;GP1_GND_;L3;9.87514e-05;9.87514e-05;-3.42513e-16
855.523;3072.06;L3;L4;9.87514e-05;9.87514e-05;-3.60182e-16
855.523;3072.06;L4;P3V3;9.87514e-05;9.87514e-05;-3.54746e-16
855.523;3072.06;P3V3;BOT;9.87514e-05;9.87514e-05;-3.96201e-16
869.437;1643.96;TOP;GP1_GND_;11.9944;11.9945;-0.1
869.437;1643.96;GP1_GND_;L3;11.9945;11.9945;-0.1
