refdes;pin;voltage;current
J4;13;-6.30343e-05;0.0100098
J4;30;5.35905e-05;0.00994565
J4;25;1.39882e-05;0.00996743
J4;22;1.3207e-05;0.00996786
U6;32;3.29642;-0.00299993
U6;31;3.29643;-0.00300007
U6;33;8.64953e-05;0.00216694
U6;29;8.87247e-05;0.0021668
U6;19;9.00343e-05;0.0021667199999999996
U6;6;9.49737e-05;0.002166419
U6;5;9.39401e-05;0.002166479
U6;1;9.12604e-05;0.002166643
U7;14;3.29649;-0.005
U7;25;-6.25423e-05;0.000713863
U7;15;-6.31448e-05;0.00071388
U7;18;-9.55173e-05;0.000714805
U7;19;-9.43502e-05;0.000714772
U7;20;-9.35455e-05;0.000714749
U7;21;-9.32625e-05;0.000714741
U7;1;-3.89473e-05;0.000713189
IC2;34;1.79169;-0.04
IC6;5;1.79824;-0.005
JB2;6;1.79165;-0.166688
JB2;4;1.79164;-0.166671
JB2;2;1.79161;-0.166641
J15;1;1.79838;-0.0999999
JB3;F2;4.91959e-05;0.00586566
JB3;F1;-4.75404e-05;0.00591687
JB3;5;6.59149e-06;0.00588821
JB3;6;-8.52409e-06;0.00589622
JB3;11;5.06053e-06;0.00588902
JB3;12;-1.2305e-05;0.00589822
JB3;17;2.60304e-05;0.00587792
JB3;18;7.39784e-06;0.00588779
JB3;23;1.93645e-05;0.00588145
JB3;24;3.6666e-06;0.00588976
JB3;29;3.53449e-05;0.00587299
JB3;30;2.02818e-05;0.00588097
JB3;35;3.83208e-05;0.00587142
JB3;36;1.65675e-05;0.00588293
JB3;45;4.92562e-05;0.00586563
JB3;46;3.9272e-05;0.00587091
JB3;55;5.24057e-05;0.00586396
U5A;2;3.29983;-0.00600018
U5A;10;3.29983;-0.00599992
U5A;11;3.29983;-0.00599992
U5A;3;0.000156114;0.00449992
U5A;9;0.000156037;0.00449992
U5A;12;0.000157151;0.00449986
U5A;17;0.000148449;0.00450032
U5B;11;3.29985;-0.00599995
U5B;10;3.29985;-0.0060002
