x,y,layer1,layer2,voltage1,voltage2,current
540.972,2471.63,GP1_GND_,L3,3.29642,3.29642,-0.001
540.972,2471.63,L3,L4,3.29642,3.29642,-0.001
540.972,2471.63,L4,P3V3,3.29642,3.29642,-0.001
540.972,2471.63,P3V3,BOT,3.29642,3.29642,-1.18024e-11
543.636,1641.59,TOP,GP1_GND_,3.29642,3.29642,1.18024e-11
543.636,1641.59,GP1_GND_,L3,3.29642,3.29642,1.20251e-11
543.636,1641.59,L3,L4,3.29642,3.29642,1.18024e-11
543.636,1641.59,L4,P3V3,3.29642,3.29642,1.16243e-11
543.636,1641.59,P3V3,BOT,3.29642,3.29642,0.001
547.114,3576.06,TOP,GP1_GND_,0.000101102,0.000101102,-0
547.114,3576.06,GP1_GND_,L3,0.000101102,9.85176e-05,0.00233226
547.114,3576.06,L3,L4,9.85176e-05,9.764e-05,0.00233226
547.114,3576.06,L4,P3V3,9.764e-05,9.764e-05,-3.42513e-16
547.114,3576.06,P3V3,BOT,9.764e-05,9.764e-05,-3.60182e-16
557.358,2686.21,TOP,GP1_GND_,8.88862e-05,8.88862e-05,-3.24164e-16
557.358,2686.21,GP1_GND_,L3,8.88862e-05,8.64361e-05,0.00221144
557.358,2686.21,L3,L4,8.64361e-05,8.5604e-05,0.00221144
557.358,2686.21,L4,P3V3,8.5604e-05,8.5604e-05,-3.05815e-16
557.358,2686.21,P3V3,BOT,8.5604e-05,8.5604e-05,-3.24164e-16
558.886,157.65,TOP,GP1_GND_,2.76456e-05,2.76456e-05,1.80091e-17
558.886,157.65,GP1_GND_,L3,2.76456e-05,2.74907e-05,0.000139812
558.886,157.65,L3,L4,2.74907e-05,2.74381e-05,0.000139812
558.886,157.65,L4,P3V3,2.74381e-05,2.74381e-05,-9.78608e-17
558.886,157.65,P3V3,BOT,2.74381e-05,2.74381e-05,-9.90501e-17
584.476,1204.89,TOP,GP1_GND_,4.64919e-05,4.64919e-05,-0
584.476,1204.89,GP1_GND_,L3,4.64919e-05,4.70859e-05,-0.000536191
584.476,1204.89,L3,L4,4.70859e-05,4.72877e-05,-0.000536191
584.476,1204.89,L4,P3V3,4.72877e-05,4.72877e-05,-1.6514e-16
584.476,1204.89,P3V3,BOT,4.72877e-05,4.72877e-05,-1.80091e-16
594.418,3760.01,TOP,GP1_GND_,0.000103383,0.000103383,4.32219e-16
594.418,3760.01,GP1_GND_,L3,0.000103383,0.000101481,0.00171698
594.418,3760.01,L3,L4,0.000101481,0.000100835,0.00171698
594.418,3760.01,L4,P3V3,0.000100835,0.000100835,-3.54746e-16
594.418,3760.01,P3V3,BOT,0.000100835,0.000100835,-3.96201e-16
665.186,631.074,TOP,GP1_GND_,3.07815e-05,3.07815e-05,1.08055e-16
665.186,631.074,GP1_GND_,L3,3.07815e-05,2.8877e-05,0.00171897
665.186,631.074,L3,L4,2.8877e-05,2.82302e-05,0.00171897
665.186,631.074,L4,P3V3,2.82302e-05,2.82302e-05,7.64538e-17
665.186,631.074,P3V3,BOT,2.82302e-05,2.82302e-05,7.20365e-17
695.698,1264.93,TOP,GP1_GND_,4.58109e-05,4.58109e-05,1.62082e-16
695.698,1264.93,GP1_GND_,L3,4.58109e-05,3.87351e-05,0.00638669
