refdes,pin,voltage,current
IC6,2,-0.000287517,0.00333329
IC6,25,-0.00028916,0.00333337
IC1,3,3.29642,-0.000499999
IC1,2,3.29642,-0.000500001
IC1,9,4.54615e-05,0.000499997
IC1,1,4.43002e-05,0.000500003
J4,34,3.29632,-0.1
J4,10,-6.69655e-05,0.0100142
J4,7,-0.000100858,0.0100329
J4,4,-0.000103178,0.0100342
J4,1,-0.000131734,0.0100499
J4,19,-1.8024e-05,0.00998732
J4,16,-2.2728e-05,0.00998991
J4,13,-5.8768e-05,0.0100097
J4,30,5.68669e-05,0.00994613
J4,25,1.74844e-05,0.00996779
J4,22,1.69149e-05,0.0099681
U6,32,3.29642,-0.00299995
U6,31,3.29642,-0.00300005
U6,33,8.81244e-05,0.00216694
U6,29,9.02592e-05,0.00216681
U6,19,9.16665e-05,0.0021667199999999996
U6,6,9.66104e-05,0.002166418
U6,5,9.55768e-05,0.002166479
U6,1,9.28917e-05,0.002166643
U7,14,3.29648,-0.005
U7,25,-6.15751e-05,0.000713866
U7,15,-6.20577e-05,0.00071388
U7,18,-9.42952e-05,0.000714801
U7,19,-9.3128e-05,0.000714768
U7,20,-9.23234e-05,0.000714745
U7,21,-9.20403e-05,0.000714737
U7,1,-3.83479e-05,0.000713203
IC2,34,1.79168,-0.04
IC6,5,1.79824,-0.005
JB2,6,1.79165,-0.166688
JB2,4,1.79163,-0.166671
JB2,2,1.7916,-0.166641
J15,1,1.79837,-0.0999999
JB3,F2,5.1212e-05,0.00586604
JB3,F1,-4.43239e-05,0.00591662
JB3,5,9.60553e-06,0.00588807
JB3,6,-5.60045e-06,0.00589612
JB3,11,7.97011e-06,0.00588893
JB3,12,-9.49083e-06,0.00589818
JB3,17,2.88496e-05,0.00587788
JB3,18,1.01334e-05,0.00588779
JB3,23,2.20952e-05,0.00588145
JB3,24,6.27146e-06,0.00588983
JB3,29,3.80143e-05,0.00587303
JB3,30,2.28428e-05,0.00588106
JB3,35,4.09423e-05,0.00587148
JB3,36,1.96412e-05,0.00588275
JB3,45,5.17342e-05,0.00586576
