x;y;layer1;layer2;voltage1;voltage2;current
547.114;3576.06;TOP;GP1_GND_;4.48518e-05;4.48518e-05;1.80091e-17
547.114;3576.06;GP1_GND_;L3;4.48518e-05;4.1851e-05;0.00270848
547.114;3576.06;L3;L4;4.1851e-05;4.08319e-05;0.00270848
547.114;3576.06;L4;P3V3;4.08319e-05;4.08319e-05;-1.46791e-16
547.114;3576.06;P3V3;BOT;4.08319e-05;4.08319e-05;-1.44073e-16
557.358;2686.21;TOP;GP1_GND_;3.06291e-05;3.06291e-05;-1.08055e-16
557.358;2686.21;GP1_GND_;L3;3.06291e-05;2.78265e-05;0.00252965
557.358;2686.21;L3;L4;2.78265e-05;2.68746e-05;0.00252965
557.358;2686.21;L4;P3V3;2.68746e-05;2.68746e-05;-9.48027e-17
557.358;2686.21;P3V3;BOT;2.68746e-05;2.68746e-05;-9.90501e-17
558.886;157.65;TOP;GP1_GND_;-3.96511e-05;-3.96511e-05;-0
558.886;157.65;GP1_GND_;L3;-3.96511e-05;-3.98258e-05;0.000157633
558.886;157.65;L3;L4;-3.98258e-05;-3.98851e-05;0.000157633
558.886;157.65;L4;P3V3;-3.98851e-05;-3.98851e-05;1.40675e-16
558.886;157.65;P3V3;BOT;-3.98851e-05;-3.98851e-05;1.44073e-16
584.476;1204.89;TOP;GP1_GND_;-1.81683e-05;-1.81683e-05;-9.00456e-18
584.476;1204.89;GP1_GND_;L3;-1.81683e-05;-1.74768e-05;-0.000624143
584.476;1204.89;L3;L4;-1.74768e-05;-1.72419e-05;-0.000624143
584.476;1204.89;L4;P3V3;-1.72419e-05;-1.72419e-05;6.1163e-17
584.476;1204.89;P3V3;BOT;-1.72419e-05;-1.72419e-05;6.30319e-17
594.418;3760.01;TOP;GP1_GND_;4.7519e-05;4.7519e-05;1.981e-16
594.418;3760.01;GP1_GND_;L3;4.7519e-05;4.53048e-05;0.00199854
594.418;3760.01;L3;L4;4.53048e-05;4.45529e-05;0.00199854
594.418;3760.01;L4;P3V3;4.45529e-05;4.45529e-05;-1.59024e-16
594.418;3760.01;P3V3;BOT;4.45529e-05;4.45529e-05;-1.62082e-16
665.186;631.074;TOP;GP1_GND_;-3.60923e-05;-3.60923e-05;-1.26064e-16
665.186;631.074;GP1_GND_;L3;-3.60923e-05;-3.82526e-05;0.00194991
665.186;631.074;L3;L4;-3.82526e-05;-3.89863e-05;0.00194991
665.186;631.074;L4;P3V3;-3.89863e-05;-3.89863e-05;-1.03977e-16
665.186;631.074;P3V3;BOT;-3.89863e-05;-3.89863e-05;-1.08055e-16
695.698;1264.93;TOP;GP1_GND_;-1.89618e-05;-1.89618e-05;-6.30319e-17
695.698;1264.93;GP1_GND_;L3;-1.89618e-05;-2.70207e-05;0.00727399
695.698;1264.93;L3;L4;-2.70207e-05;-2.97577e-05;0.00727399
695.698;1264.93;L4;P3V3;-2.97577e-05;-2.86498e-05;-0.001
695.698;1264.93;P3V3;BOT;-2.86498e-05;-2.82735e-05;-0.001
715.58;3071.88;TOP;GP1_GND_;4.3031e-05;4.3031e-05;-9.00456e-17
715.58;3071.88;GP1_GND_;L3;4.3031e-05;4.3031e-05;-1.52908e-16
715.58;3071.88;L3;L4;4.3031e-05;4.3031e-05;-1.62082e-16
715.58;3071.88;L4;P3V3;4.3031e-05;4.3031e-05;-1.46791e-16
715.58;3071.88;P3V3;BOT;4.3031e-05;4.3031e-05;-1.80091e-16
855.523;3072.06;TOP;GP1_GND_;4.5468e-05;4.5468e-05;-5.40273e-17
855.523;3072.06;GP1_GND_;L3;4.5468e-05;4.5468e-05;-1.59024e-16
855.523;3072.06;L3;L4;4.5468e-05;4.5468e-05;-1.80091e-16
855.523;3072.06;L4;P3V3;4.5468e-05;4.5468e-05;-1.6514e-16
855.523;3072.06;P3V3;BOT;4.5468e-05;4.5468e-05;-1.62082e-16
869.437;1643.96;TOP;GP1_GND_;11.9935;11.9936;-0.1
869.437;1643.96;GP1_GND_;L3;11.9936;11.9936;-0.1
869.437;1643.96;L3;L4;11.9936;11.9936;-0.1
869.437;1643.96;L4;P3V3;11.9936;11.9936;-1.55566e-10
869.437;1643.96;P3V3;BOT;11.9936;11.9936;-1.52685e-10
869.437;1743.96;TOP;GP1_GND_;1.06967e-06;1.06855e-06;1.59828e-05
869.437;1743.96;GP1_GND_;L3;1.06855e-06;1.06855e-06;-1.44238e-17
869.437;1743.96;L3;L4;1.06855e-06;1.06855e-06;-1.51679e-17
869.437;1743.96;L4;P3V3;1.06855e-06;1.06855e-06;-1.44238e-17
869.437;1743.96;P3V3;BOT;1.06855e-06;1.06855e-06;-1.21343e-17
869.437;2043.96;TOP;GP1_GND_;1.40104e-05;1.40104e-05;4.53879e-07
869.437;2043.96;GP1_GND_;L3;1.40104e-05;1.40104e-05;-2.06055e-16
869.437;2043.96;L3;L4;1.40104e-05;1.40104e-05;-1.9415e-16
869.437;2043.96;L4;P3V3;1.40104e-05;1.40104e-05;-1.97813e-16
869.437;2043.96;P3V3;BOT;1.40104e-05;1.40104e-05;-1.69881e-16
869.437;2343.96;TOP;GP1_GND_;2.43336e-05;2.43344e-05;-1.19339e-05
869.437;2343.96;GP1_GND_;L3;2.43344e-05;2.43344e-05;-3.62657e-16
869.437;2343.96;L3;L4;2.43344e-05;2.43344e-05;-2.91224e-16
869.437;2343.96;L4;P3V3;2.43344e-05;2.43344e-05;-2.96719e-16
869.437;2343.96;P3V3;BOT;2.43344e-05;2.43344e-05;-3.39762e-16
885.112;2690.5;TOP;GP1_GND_;3.63677e-05;3.63677e-05;-1.08055e-16
885.112;2690.5;GP1_GND_;L3;3.63677e-05;3.63677e-05;-1.28442e-16
885.112;2690.5;L3;L4;3.63677e-05;3.63677e-05;-1.26064e-16
885.112;2690.5;L4;P3V3;3.63677e-05;3.63677e-05;-1.28442e-16
885.112;2690.5;P3V3;BOT;3.63677e-05;3.63677e-05;-1.44073e-16
969.437;1643.96;TOP;GP1_GND_;-11.9944;-11.9944;0.1
969.437;1643.96;GP1_GND_;L3;-11.9944;-11.9944;0.1
969.437;1643.96;L3;L4;-11.9944;-11.9944;0.1
969.437;1643.96;L4;P3V3;-11.9944;-11.9944;1.55566e-10
969.437;1643.96;P3V3;BOT;-11.9944;-11.9944;1.52685e-10
969.437;1943.96;TOP;GP1_GND_;9.66267e-06;9.66227e-06;5.67121e-06
969.437;1943.96;GP1_GND_;L3;9.66227e-06;9.66227e-06;-1.31875e-16
969.437;1943.96;L3;L4;9.66227e-06;9.66227e-06;-1.21343e-16
969.437;1943.96;L4;P3V3;9.66227e-06;9.66227e-06;-1.31875e-16
969.437;1943.96;P3V3;BOT;9.66227e-06;9.66227e-06;-1.21343e-16
969.437;2243.96;TOP;GP1_GND_;2.2867e-05;2.28677e-05;-1.0174e-05
969.437;2243.96;GP1_GND_;L3;2.28677e-05;2.28677e-05;-3.13203e-16
969.437;2243.96;L3;L4;2.28677e-05;2.28677e-05;-2.91224e-16
969.437;2243.96;L4;P3V3;2.28677e-05;2.28677e-05;-2.96719e-16
969.437;2243.96;P3V3;BOT;2.28677e-05;2.28677e-05;-2.91224e-16
983.099;3390.92;TOP;GP1_GND_;5.35575e-05;5.35575e-05;-1.981e-16
983.099;3390.92;GP1_GND_;L3;5.35575e-05;5.35575e-05;-1.83489e-16
983.099;3390.92;L3;L4;5.35575e-05;5.35575e-05;-1.981e-16
983.099;3390.92;L4;P3V3;5.35575e-05;5.35575e-05;-1.95722e-16
983.099;3390.92;P3V3;BOT;5.35575e-05;5.35575e-05;-1.981e-16
1002.87;1110.71;TOP;GP1_GND_;3.2965;3.2965;1.18024e-11
1002.87;1110.71;GP1_GND_;L3;3.2965;3.2965;1.16243e-11
1002.87;1110.71;L3;L4;3.2965;3.2965;1.18024e-11
1002.87;1110.71;L4;P3V3;3.2965;3.2965;1.20251e-11
1002.87;1110.71;P3V3;BOT;3.2965;3.2965;0.001
1073.61;1013.79;TOP;GP1_GND_;-3.53139e-05;-3.53139e-05;1.08055e-16
1073.61;1013.79;GP1_GND_;L3;-3.53139e-05;-4.23089e-05;0.00631369
1073.61;1013.79;L3;L4;-4.23089e-05;-4.46845e-05;0.00631369
1073.61;1013.79;L4;P3V3;-4.46845e-05;-4.46845e-05;1.59024e-16
1073.61;1013.79;P3V3;BOT;-4.46845e-05;-4.46845e-05;1.62082e-16
1074.23;789.188;TOP;GP1_GND_;3.2965;3.2965;9.44196e-12
1074.23;789.188;GP1_GND_;L3;3.2965;3.2965;8.81844e-12
1074.23;789.188;L3;L4;3.2965;3.2965;8.26172e-12
1074.23;789.188;L4;P3V3;3.2965;3.2965;8.81844e-12
1074.23;789.188;P3V3;BOT;3.2965;3.2965;-1.18024e-11
1094.2;3160.6;TOP;GP1_GND_;5.31888e-05;5.31888e-05;9.00456e-17
1094.2;3160.6;GP1_GND_;L3;5.31888e-05;5.31888e-05;-1.83489e-16
1094.2;3160.6;L3;L4;5.31888e-05;5.31888e-05;-2.16109e-16
1094.2;3160.6;L4;P3V3;5.31888e-05;5.31888e-05;-1.89605e-16
1094.2;3160.6;P3V3;BOT;5.31888e-05;5.31888e-05;-1.981e-16
1101.44;3040.31;TOP;GP1_GND_;5.07359e-05;5.07359e-05;-0
1101.44;3040.31;GP1_GND_;L3;5.07359e-05;5.07359e-05;-1.83489e-16
1101.44;3040.31;L3;L4;5.07359e-05;5.07359e-05;-1.80091e-16
1101.44;3040.31;L4;P3V3;5.07359e-05;5.07359e-05;-1.77373e-16
1101.44;3040.31;P3V3;BOT;5.07359e-05;5.07359e-05;-1.981e-16
1162.65;254.67;TOP;GP1_GND_;-4.85842e-05;-4.85842e-05;-9.43515e-16
1162.65;254.67;GP1_GND_;L3;-4.85842e-05;-4.81762e-05;-0.00643009
1162.65;254.67;L3;L4;-4.81762e-05;-4.80377e-05;-0.00643009
1162.65;254.67;L4;P3V3;-4.80377e-05;-4.80377e-05;7.47691e-16
1162.65;254.67;P3V3;BOT;-4.80377e-05;-4.80377e-05;9.43515e-16
1162.65;3601.13;TOP;GP1_GND_;6.03073e-05;6.03073e-05;2.51604e-15
1162.65;3601.13;GP1_GND_;L3;6.03073e-05;6.03073e-05;5.34065e-16
1162.65;3601.13;L3;L4;6.03073e-05;6.03073e-05;-0
1162.65;3601.13;L4;P3V3;6.03073e-05;6.03073e-05;-8.54504e-16
1162.65;3601.13;P3V3;BOT;6.03073e-05;6.03073e-05;-1.88703e-15
1125.82;3390.92;TOP;GP1_GND_;5.82265e-05;5.82265e-05;-1.44073e-16
1125.82;3390.92;GP1_GND_;L3;5.82265e-05;5.82265e-05;-2.07954e-16
1125.82;3390.92;L3;L4;5.82265e-05;5.82265e-05;-2.16109e-16
1125.82;3390.92;L4;P3V3;5.82265e-05;5.82265e-05;-2.07954e-16
1125.82;3390.92;P3V3;BOT;5.82265e-05;5.82265e-05;-2.16109e-16
1169.12;2377.36;TOP;GP1_GND_;3.29649;3.29649;-5.90123e-12
1169.12;2377.36;GP1_GND_;L3;3.29649;3.29649;-6.01257e-12
1169.12;2377.36;L3;L4;3.29649;3.29649;-5.90123e-12
1169.12;2377.36;L4;P3V3;3.29649;3.29649;-6.41341e-12
1169.12;2377.36;P3V3;BOT;3.29649;3.29649;-1.18024e-11
1173.18;2629.05;TOP;GP1_GND_;3.88111e-05;3.90924e-05;-0.000747376
1173.18;2629.05;GP1_GND_;L3;3.90924e-05;3.90924e-05;-1.34559e-16
1173.18;2629.05;L3;L4;3.90924e-05;3.90924e-05;-1.44073e-16
1173.18;2629.05;L4;P3V3;3.90924e-05;3.90924e-05;-1.40675e-16
1173.18;2629.05;P3V3;BOT;3.90924e-05;3.90924e-05;-1.44073e-16
1183.05;1709.03;TOP;GP1_GND_;2.49739;2.49739;-1.18025e-12
1183.05;1709.03;GP1_GND_;L3;2.49739;2.49739;-2.40503e-12
1183.05;1709.03;L3;L4;2.49739;2.49739;-2.36049e-12
1183.05;1709.03;L4;P3V3;2.49739;2.49739;-8.81844e-12
1183.05;1709.03;P3V3;BOT;2.49739;2.49739;-9.44196e-12
1183.05;2122.37;TOP;GP1_GND_;2.49763;2.49762;0.0360166
1183.05;2122.37;GP1_GND_;L3;2.49762;2.49758;0.0360166
1183.05;2122.37;L3;L4;2.49758;2.49756;0.0360166
1183.05;2122.37;L4;P3V3;2.49756;2.49756;-8.81844e-12
1183.05;2122.37;P3V3;BOT;2.49756;2.49756;-9.44196e-12
1183.05;2170.79;TOP;GP1_GND_;2.49764;2.49763;0.0246032
1183.05;2170.79;GP1_GND_;L3;2.49763;2.4976;0.0246032
1183.05;2170.79;L3;L4;2.4976;2.49759;0.0246032
1183.05;2170.79;L4;P3V3;2.49759;2.49759;-8.81844e-12
1183.05;2170.79;P3V3;BOT;2.49759;2.49759;-9.44196e-12
1183.05;2219.21;TOP;GP1_GND_;2.49765;2.49764;0.0264133
1183.05;2219.21;GP1_GND_;L3;2.49764;2.49761;0.0264133
1183.05;2219.21;L3;L4;2.49761;2.4976;0.0264133
1183.05;2219.21;L4;P3V3;2.4976;2.4976;-8.81844e-12
1183.05;2219.21;P3V3;BOT;2.4976;2.4976;-9.44196e-12
1183.05;2267.63;TOP;GP1_GND_;2.49765;2.49764;0.0258098
1183.05;2267.63;GP1_GND_;L3;2.49764;2.49762;0.0258098
1183.05;2267.63;L3;L4;2.49762;2.49761;0.0258098
1183.05;2267.63;L4;P3V3;2.49761;2.49761;-8.81844e-12
1183.05;2267.63;P3V3;BOT;2.49761;2.49761;-9.44196e-12
1183.05;2313.86;TOP;GP1_GND_;2.49766;2.49765;0.027157
