refdes;pin;voltage;current
JB2;60;0.000215441;0.06659509999999999
JB2;59;0.000228795;0.0665711
JB2;50;0.000209651;0.06660540000000001
JB2;49;0.000241383;0.06654850000000001
JB2;40;0.000205695;0.0666125
JB2;39;0.000218961;0.0665888
JB2;29;0.000220122;0.0665866
JB2;19;0.000218134;0.0665902
JB2;69;0.000213;0.0665994
JB2;70;0.000173535;0.0666701
JB2;79;0.000198629;0.0666252
JB2;80;0.000179041;0.0666603
JB2;89;0.000137312;0.06673499999999999
IC4;5;3.29649;-0.001
IC4;3;2.22277e-05;0.001
IC5;5;3.29649;-0.001
IC5;3;9.31396e-06;0.001
IC15;4;3.29654;-0.016
IC15;2;-0.00036732;0.016
IC6;21;3.29656;-0.00249967
IC6;17;3.29659;-0.00250033
IC6;11;-0.000386899;0.00333338
IC6;2;-0.000384527;0.00333326
IC6;25;-0.000386705;0.00333337
IC1;3;3.29649;-0.000499999
IC1;2;3.29649;-0.000500001
IC1;9;-2.06281e-05;0.000499997
IC1;1;-2.17895e-05;0.000500003
J4;34;3.29639;-0.1
J4;10;-0.000146576;0.0100164
J4;7;-0.000184114;0.0100371
J4;4;-0.000187206;0.0100388
J4;1;-0.000219045;0.0100563
J4;19;-9.00102e-05;0.00998534
J4;16;-9.70237e-05;0.0099892
J4;13;-0.000136374;0.0100108
J4;30;-5.61046e-06;0.00993892
J4;25;-4.86778e-05;0.0099626
J4;22;-5.22319e-05;0.00996456
U6;32;3.29649;-0.00299992
U6;31;3.2965;-0.00300008
U6;33;5.40897e-05;0.00216692
U6;29;5.56699e-05;0.00216682
U6;19;5.75873e-05;0.0021667099999999996
U6;6;6.24234e-05;0.002166418
U6;5;6.13898e-05;0.002166479
U6;1;5.87829e-05;0.002166641
U7;14;3.29656;-0.005
U7;25;-9.38451e-05;0.000713784
U7;15;-9.63184e-05;0.000713855
U7;18;-0.000132888;0.0007149
U7;19;-0.000131721;0.000714867
U7;20;-0.000130916;0.000714844
U7;21;-0.000130633;0.000714836
U7;1;-6.33959e-05;0.000712915
IC2;34;1.79166;-0.04
IC6;5;1.79822;-0.005
JB2;6;1.79163;-0.166688
JB2;4;1.79161;-0.166671
JB2;2;1.79158;-0.166641
J15;1;1.79835;-0.0999999
JB3;F2;8.09318e-06;0.00586005
JB3;F1;-0.000108156;0.00592159
JB3;5;-5.02906e-05;0.00589095
JB3;6;-6.47901e-05;0.00589863
